CONTAINER           IMAGE                                                                                                                    CREATED             STATE               NAME                       ATTEMPT             POD ID              POD                                      NAMESPACE
4a161da36c4e7       efe5d76cc4688f1bfdf2076186ae7d6ab8a6dcde1953096dce58afd899dc7070                                                         About an hour ago   Running             voucher                    2                   1c29fd9e1298a       voucher-2gps7                            webhook
07bc7ade1a882       680594002511dc44652e5c8e79089502b4bf8e5eeea5d5793bef0b0d502dfc43                                                         About an hour ago   Running             kube-scheduler             2                   f2bbaf84548a9       kube-scheduler-f5-xc-ce-vm-01            kube-system
7288cd18ecd2d       33c7e515be9e6b5d591c9585e4bf7dde1d6eaa997baf8bde16adda67223b2756                                                         About an hour ago   Running             kube-controller-manager    2                   13aecb508b676       kube-controller-manager-f5-xc-ce-vm-01   kube-system
2ad8cdeda146f       1360b2f9338703e4c26457328084879c6148ff36f253c256ff06d86576d817e7                                                         About an hour ago   Running             etcd                       0                   718817cded34d       etcd-0                                   ves-system
75d0e78d588d8       e4536c493ec76e86d4e1d062d4db6b952a38bdcbabf9f305409d78cdae3199cb                                                         About an hour ago   Running             wingman                    0                   718817cded34d       etcd-0                                   ves-system
695fc2aeeda8d       3185b1c65c024fec53d6a70f81693937a8b2bbfca8c66f93533253d63965e69c                                                         About an hour ago   Running             clank                      1                   65592ba6b7ccd       clank-b8tc5                              ves-system
97466ae830e42       dfc46540b37c43a09901b10e95d5632df367c0f0be330163b663e125951919bd                                                         About an hour ago   Running             prometheus-node-exporter   0                   a9ba977f2f8d0       prometheus-node-exporter-vwfkz           monitoring
bff91ff5db756       e4536c493ec76e86d4e1d062d4db6b952a38bdcbabf9f305409d78cdae3199cb                                                         About an hour ago   Running             wingman                    0                   a9ba977f2f8d0       prometheus-node-exporter-vwfkz           monitoring
9cb8cf217af8c       b0d1c667f412f82a67eade4689423b3fcb02a9e526a4833a491bf7d0d260af73                                                         About an hour ago   Running             prometheus                 0                   324dd89b57c0c       prometheus-75b78976b5-fl5bd              monitoring
472ea162dd9ed       cd18cc64bd95c845cf9083df47e33dc6ffc4dc376c2999f44540abe09213b369                                                         About an hour ago   Running             pushgateway                0                   324dd89b57c0c       prometheus-75b78976b5-fl5bd              monitoring
58334c4b4fdfa       50f23482588519a9c6a06c38847c3136115d49532330a4bbacfeadce67c74dc3                                                         About an hour ago   Running             dymo                       0                   324dd89b57c0c       prometheus-75b78976b5-fl5bd              monitoring
6831dce495cd7       e4536c493ec76e86d4e1d062d4db6b952a38bdcbabf9f305409d78cdae3199cb                                                         About an hour ago   Running             wingman                    0                   324dd89b57c0c       prometheus-75b78976b5-fl5bd              monitoring
b6fd9ca75c19e       08e58712c51aee9657d1d0f3e2f35e72ac3b194c697c4448a878c70872d81c6d                                                         About an hour ago   Running             ganges                     1                   12b64c4c88d14       ganges-5fd58dfc54-zlrkq                  ves-system
7db910b317018       ef08d88eb4b013860f55b6cae7ce0bf4529b89949a110658387e2f09d69b596f                                                         About an hour ago   Running             event-exporter             0                   a78e9de1c100b       event-exporter-55b69f9c8-zdkv6           monitoring
345a2c66b677b       gcr.download.volterra.io/volterraio/wingman@sha256:61c2b1659b9f9459d4c0cc54ca3b9b96046fc706ec67a82e238f05e714d409ad      About an hour ago   Running             wingman                    0                   a78e9de1c100b       event-exporter-55b69f9c8-zdkv6           monitoring
cb3695e4d485e       e4536c493ec76e86d4e1d062d4db6b952a38bdcbabf9f305409d78cdae3199cb                                                         About an hour ago   Running             wingman                    0                   12b64c4c88d14       ganges-5fd58dfc54-zlrkq                  ves-system
3ca7061511514       e36f2a40962445ef64d5fa5cc5d942a21d9666ea98b13ebf352523fd15d136a7                                                         About an hour ago   Running             hellas                     0                   27ecd18c26731       hellas-77c7f5bc4-j2ptp                   ves-system
c6ca416573022       e4536c493ec76e86d4e1d062d4db6b952a38bdcbabf9f305409d78cdae3199cb                                                         About an hour ago   Running             wingman                    0                   27ecd18c26731       hellas-77c7f5bc4-j2ptp                   ves-system
3e0465a54ad2e       e4536c493ec76e86d4e1d062d4db6b952a38bdcbabf9f305409d78cdae3199cb                                                         About an hour ago   Running             wingman                    0                   adbc60f8b4004       dnsmasq-85d94d6bc6-qj98j                 ves-system
